-1-1-1-1-1-1-1-1-1 0
-1-1-1-1-1-1-1-10 0
-1-1-1-1-1-1-10-1 1
-1-1-1-1-1-1-101 0
-1-1-1-1-1-1-110 0
-1-1-1-1-1-10-1-1 3
-1-1-1-1-1-10-11 0
-1-1-1-1-1-1001 1
-1-1-1-1-1-101-1 0
-1-1-1-1-1-1010 0
-1-1-1-1-1-11-10 0
-1-1-1-1-1-110-1 0
-1-1-1-1-1-1100 0
-1-1-1-1-10-1-1-1 2
-1-1-1-1-10-1-11 0
-1-1-1-1-10-101 0
-1-1-1-1-10-11-1 0
-1-1-1-1-10-110 0
-1-1-1-1-100-11 0
-1-1-1-1-1001-1 0
-1-1-1-1-101-1-1 0
-1-1-1-1-101-10 2
-1-1-1-1-1010-1 0
-1-1-1-1-10101 0
-1-1-1-1-10110 0
-1-1-1-1-11-1-10 0
-1-1-1-1-11-10-1 0
-1-1-1-1-11-100 3
-1-1-1-1-110-1-1 0
-1-1-1-1-110-10 4
-1-1-1-1-1100-1 2
-1-1-1-1-11001 1
-1-1-1-1-11010 0
-1-1-1-10-1-1-1-1 0
-1-1-1-10-1-1-11 0
-1-1-1-10-1-101 1
-1-1-1-10-1-11-1 0
-1-1-1-10-1-110 0
-1-1-1-10-10-11 2
-1-1-1-10-101-1 0
-1-1-1-10-11-1-1 0
-1-1-1-10-11-10 0
-1-1-1-10-110-1 1
-1-1-1-10-1101 0
-1-1-1-10-1110 0
-1-1-1-100-1-11 1
-1-1-1-100-11-1 0
-1-1-1-100-111 1
-1-1-1-1001-1-1 3
-1-1-1-10011-1 1
-1-1-1-101-1-1-1 0
-1-1-1-101-1-10 0
-1-1-1-101-10-1 1
-1-1-1-1010-1-1 2
-1-1-1-10101-1 0
-1-1-1-101010 0
-1-1-1-1011-10 0
-1-1-1-11-1-1-10 0
-1-1-1-11-1-10-1 0
-1-1-1-11-1-100 2
-1-1-1-11-10-1-1 0
-1-1-1-11-10-10 1
-1-1-1-11-100-1 5
-1-1-1-11-1001 0
-1-1-1-11-1100 1
-1-1-1-110-1-1-1 0
-1-1-1-110-1-10 0
-1-1-1-110-10-1 0
-1-1-1-1100-1-1 0
-1-1-1-1101-10 1
-1-1-1-11010-1 1
-1-1-1-111-100 1
-1-1-1-1110-10 1
-1-1-1-11100-1 1
-1-1-10-1-1-1-1-1 0
-1-1-10-1-1-1-11 2
-1-1-10-1-1-101 1
-1-1-10-1-1-11-1 1
-1-1-10-1-1-110 0
-1-1-10-1-10-11 5
-1-1-10-1-101-1 0
-1-1-10-1-11-1-1 1
-1-1-10-1-11-10 0
-1-1-10-1-110-1 0
-1-1-10-1-1101 1
-1-1-10-1-1110 1
-1-1-10-10-1-11 4
-1-1-10-10-11-1 0
-1-1-10-101-1-1 1
-1-1-10-101-11 1
-1-1-10-1011-1 0
-1-1-10-11-1-1-1 0
-1-1-10-11-1-10 0
-1-1-10-11-10-1 0
-1-1-10-11-110 0
-1-1-10-110-1-1 0
-1-1-10-110-11 0
-1-1-10-1101-1 0
-1-1-10-111-10 0
-1-1-100-1-1-11 5
-1-1-100-1-11-1 0
-1-1-100-1-111 1
-1-1-100-11-1-1 5
-1-1-100-11-11 1
-1-1-100-111-1 1
-1-1-1001-1-1-1 0
-1-1-1001-1-11 1
-1-1-1001-11-1 0
-1-1-10011-1-1 1
-1-1-100110-1 1
-1-1-101-1-1-1-1 0
-1-1-101-1-1-10 0
-1-1-101-1-10-1 0
-1-1-101-1-101 0
-1-1-101-10-1-1 0
-1-1-101-10-11 0
-1-1-101-101-1 0
-1-1-101-11-10 1
-1-1-1010-1-1-1 0
-1-1-1010-1-11 2
-1-1-10100-11 0
-1-1-10101-1-1 1
-1-1-1011-10-1 0
-1-1-11-1-1-1-10 0
-1-1-11-1-1-10-1 0
-1-1-11-1-1-100 4
-1-1-11-1-10-1-1 0
-1-1-11-1-10-10 7
-1-1-11-1-100-1 8
-1-1-11-1-1001 0
-1-1-11-1-1010 1
-1-1-11-10-1-1-1 0
-1-1-11-10-1-10 2
-1-1-11-10-10-1 0
-1-1-11-10-101 0
-1-1-11-10-110 0
-1-1-11-100-1-1 1
-1-1-11-100-11 0
-1-1-11-10001 1
-1-1-11-1001-1 0
-1-1-11-10010 0
-1-1-11-101-10 0
-1-1-11-11-100 1
-1-1-11-110-10 4
-1-1-11-1100-1 8
-1-1-110-1-1-1-1 0
-1-1-110-1-1-10 0
-1-1-110-1-10-1 1
-1-1-110-1-101 0
-1-1-110-1-110 0
-1-1-110-10-1-1 2
-1-1-110-10-11 2
-1-1-110-1001 2
-1-1-110-101-1 2
-1-1-110-1010 0
-1-1-110-110-1 0
-1-1-1100-1-1-1 0
-1-1-1100-1-11 0
-1-1-11000-11 1
-1-1-11001-1-1 0
-1-1-1101-1-10 0
-1-1-1101-100 0
-1-1-11010-1-1 0
-1-1-11010-10 2
-1-1-110100-1 1
-1-1-1101010 0
-1-1-111-1-100 2
-1-1-111-10-10 7
-1-1-111-100-1 8
-1-1-1110-10-1 0
-1-1-11100-1-1 0
-1-1-11100-10 2
-1-10-1-1-1-1-1-1 4
-1-10-1-1-1-1-11 0
-1-10-1-1-1-101 1
-1-10-1-1-1-11-1 0
-1-10-1-1-1-110 1
-1-10-1-1-10-11 4
-1-10-1-1-101-1 0
-1-10-1-1-1011 0
-1-10-1-1-11-1-1 0
-1-10-1-1-11-10 0
-1-10-1-1-110-1 0
-1-10-1-1-1101 0
-1-10-1-10-1-11 3
-1-10-1-10-11-1 8
-1-10-1-10-111 0
-1-10-1-10011 0
-1-10-1-101-1-1 8
-1-10-1-1011-1 8
-1-10-1-11-1-1-1 0
-1-10-1-11-1-10 0
-1-10-1-11-10-1 1
-1-10-1-110-1-1 0
-1-10-1-110-11 0
-1-10-1-111-10 0
-1-10-10-1-1-11 1
-1-10-10-1-11-1 6
-1-10-10-11-1-1 0
-1-10-10-11-11 0
-1-10-10-111-1 3
-1-10-10011-1 8
-1-10-101-1-1-1 8
-1-10-101-1-11 0
-1-10-101-101 1
-1-10-101-11-1 0
-1-10-101-110 0
-1-10-1011-1-1 0
-1-10-11-1-1-1-1 0
-1-10-11-1-1-10 5
-1-10-11-1-10-1 1
-1-10-11-1-101 0
-1-10-11-1-110 1
